	Clean read rate	Mean Coverage	Raw reads	Total filtered	Cutted adapter	Coverage(>=1X)_chr10	Coverage(>=5X)_chr10	Coverage(>=10X)_chr10	Coverage(>=20X)_chr10	Coverage(>=1X)_chrX	Coverage(>=5X)_chrX	Coverage(>=10X)_chrX	Coverage(>=20X)_chrX	Coverage(>=1X)_chrY	Coverage(>=5X)_chrY	Coverage(>=10X)_chrY	Coverage(>=20X)_chrY	Mapping rate	Mismatch rate	Insert size_median	Total SNP_chr10	dbSNP rate_chr10	Novel SNP_chr10	Novel SNP rate_chr10	dbSNP TITV_chr10	Novel TITV_chr10	Total INDEL_chr10	Novel INDEL_chr10	Total SNP_chrX	dbSNP rate_chrX	Novel SNP_chrX	Novel SNP rate_chrX	dbSNP TITV_chrX	Novel TITV_chrX	Total INDEL_chrX	Novel INDEL_chrX	Total SNP_chrY	dbSNP rate_chrY	Novel SNP_chrY	Novel SNP rate_chrY	dbSNP TITV_chrY	Novel TITV_chrY	Total INDEL_chrY	Novel INDEL_chrY
FND00000543.13696.WGS.report.html	95.58	27.92	554827714.0	24512430.0	7053706.0	0.97	0.95	0.92	0.75	0.97	0.95	0.91	0.71	0.09	0.05	0.03	0.01	99.79	1.05	452.0	179358.0	99.73	482.0	0.27	2.1	0.85	35276.0	70.0	108563.0	99.49	553.0	0.51	1.94	0.72	24714.0	84.0	11629.0	99.24	88.0	0.76	1.22	0.69	937.0	86.0
FND00000598.14259.WGS.report.html	96.61	32.38	639445650.0	21648460.0	6061002.0	0.97	0.96	0.94	0.83	0.97	0.93	0.8	0.22	0.43	0.4	0.33	0.1	99.72	0.87	374.0	179700.0	99.61	709.0	0.39	2.1	1.03	35869.0	232.0	82045.0	98.48	1245.0	1.52	1.92	1.09	20523.0	343.0	13899.0	97.09	404.0	2.91	1.15	0.7	1827.0	180.0
FND00000599.13910.WGS.report.html	96.45	32.91	647630630.0	22991736.0	6524499.0	0.97	0.96	0.94	0.84	0.97	0.93	0.81	0.24	0.43	0.41	0.36	0.12	99.67	0.87	374.0	189522.0	99.56	826.0	0.44	2.1	1.01	37189.0	251.0	79692.0	98.47	1218.0	1.53	1.92	1.2	20078.0	347.0	13647.0	96.34	500.0	3.66	1.15	0.75	1629.0	167.0
FND00000867.13911.WGS.report.html	98.04	47.16	866323880.0	17008614.0	9339365.0	0.97	0.96	0.96	0.93	0.97	0.96	0.92	0.58	0.43	0.42	0.4	0.26	99.77	0.65	343.0	193618.0	98.19	3499.0	1.81	2.05	0.49	38877.0	544.0	94870.0	86.06	13228.0	13.94	1.8	0.42	22598.0	999.0	15524.0	85.04	2322.0	14.96	1.08	0.46	1824.0	288.0
FND00000870.13906.WGS.report.html	98.06	46.66	910223708.0	17621626.0	8178671.0	0.97	0.96	0.96	0.92	0.97	0.97	0.96	0.92	0.09	0.06	0.05	0.02	99.82	0.64	332.0	200572.0	94.28	11481.0	5.72	2.09	1.72	39154.0	1000.0	125637.0	90.53	11904.0	9.47	1.92	1.96	27583.0	999.0	13006.0	93.49	847.0	6.51	1.24	0.83	1148.0	178.0
FND00000870.14256.WGS.report.html	98.06	46.66	910223708.0	17621626.0	8178671.0	0.97	0.96	0.96	0.92	0.97	0.97	0.96	0.92	0.09	0.06	0.05	0.02	99.82	0.64	332.0	200572.0	94.28	11480.0	5.72	2.09	1.72	39154.0	1000.0	125637.0	90.53	11904.0	9.47	1.92	1.96	27583.0	999.0	13005.0	93.49	846.0	6.51	1.24	0.83	1146.0	176.0
FND00000871.13907.WGS.report.html	98.03	52.86	1029069892.0	20242812.0	11378063.0	0.97	0.96	0.96	0.94	0.97	0.97	0.96	0.94	0.09	0.06	0.05	0.03	99.81	0.66	335.0	196294.0	96.05	7757.0	3.95	2.09	1.92	38775.0	704.0	120710.0	92.92	8544.0	7.08	1.93	2.12	27598.0	874.0	13618.0	93.73	854.0	6.27	1.21	0.88	1214.0	177.0
FND00000871.14257.WGS.report.html	98.03	52.86	1029069892.0	20242812.0	11378063.0	0.97	0.96	0.96	0.94	0.97	0.97	0.96	0.94	0.09	0.06	0.05	0.03	99.81	0.66	335.0	196294.0	96.05	7757.0	3.95	2.09	1.92	38775.0	704.0	120710.0	92.92	8544.0	7.08	1.93	2.12	27598.0	874.0	13618.0	93.73	854.0	6.27	1.21	0.88	1214.0	177.0
FND00000873.14258.WGS.report.html	98.05	42.58	804933916.0	15690384.0	6777227.0	0.97	0.96	0.96	0.91	0.97	0.97	0.96	0.91	0.09	0.06	0.05	0.02	99.82	0.6	351.0	194145.0	97.94	4006.0	2.06	2.05	0.4	38860.0	411.0	114817.0	96.26	4297.0	3.74	1.9	0.47	27325.0	614.0	13029.0	95.12	636.0	4.88	1.21	0.6	1177.0	182.0
FND00001020.14138.WGS.report.html	97.53	33.49	679665324.0	16755772.0	11797210.0	0.97	0.96	0.94	0.84	0.97	0.96	0.94	0.83	0.09	0.06	0.04	0.01	99.76	0.98	327.0	183525.0	99.64	664.0	0.36	2.1	1.39	35899.0	254.0	108647.0	99.32	739.0	0.68	1.94	1.44	25103.0	311.0	11889.0	96.51	415.0	3.49	1.25	0.78	1041.0	138.0
FND00001021.14137.WGS.report.html	97.6	36.28	725650324.0	17423300.0	12263361.0	0.97	0.96	0.94	0.86	0.97	0.94	0.84	0.34	0.43	0.41	0.37	0.16	99.71	1.05	329.0	181482.0	99.72	515.0	0.28	2.11	1.22	35880.0	204.0	78728.0	98.53	1159.0	1.47	1.92	2.04	19258.0	305.0	13970.0	94.3	796.0	5.7	1.14	1.08	1850.0	245.0
FND00001032.12667.WGS.report.html	96.45	0.38	8000000.0	283682.0	70927.0	0.31	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.52	0.87	430.0	4877.0	99.08	45.0	0.92	2.07	1.05	736.0	8.0	2892.0	98.27	50.0	1.73	1.96	2.33	522.0	2.0	350.0	100.0	0.0	0.0	1.26	0.0	24.0	1.0
FND00001032.13433.WGS.report.html	97.35	31.42	659395382.0	17491038.0	9763086.0	0.99	0.98	0.95	0.85	0.99	0.98	0.95	0.83	0.05	0.02	0.01	0.0	99.84	0.91	330.0	184526.0	99.79	383.0	0.21	2.07	1.03	35379.0	42.0	112450.0	99.62	422.0	0.38	1.98	1.36	25812.0	43.0	5492.0	98.49	83.0	1.51	1.2	0.6	671.0	49.0
FND00001033.13431.WGS.report.html	97.37	31.96	660199074.0	17387736.0	10692281.0	0.99	0.98	0.96	0.86	0.99	0.95	0.82	0.27	0.4	0.38	0.31	0.11	99.84	0.93	331.0	187291.0	99.76	441.0	0.24	2.05	1.02	35644.0	36.0	83136.0	99.02	812.0	0.98	1.96	2.0	19656.0	50.0	8646.0	93.23	585.0	6.77	1.09	0.86	1533.0	130.0
FND00001271.13628.WGS.report.html	98.53	29.29	573021184.0	8409826.0	7248954.0	0.97	0.96	0.93	0.8	0.97	0.93	0.76	0.14	0.43	0.41	0.34	0.08	99.72	0.77	363.0	185761.0	99.81	362.0	0.19	2.09	0.9	36180.0	53.0	79359.0	98.98	813.0	1.02	1.92	1.79	19089.0	124.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001271.13944.WGS.report.html	98.53	29.29	573021184.0	8409826.0	7248954.0	0.97	0.96	0.93	0.8	0.97	0.93	0.76	0.14	0.43	0.41	0.34	0.08	99.72	0.77	363.0	185820.0	99.69	576.0	0.31	2.09	1.06	36195.0	192.0	79317.0	98.41	1259.0	1.59	1.92	1.64	19099.0	306.0	13954.0	96.33	512.0	3.67	1.17	0.94	1848.0	175.0
FND00001277.14846.WGS.report.html	98.46	30.94	610482862.0	9429122.0	4762065.0	0.97	0.95	0.92	0.79	0.97	0.95	0.92	0.76	0.09	0.05	0.04	0.01	99.74	0.98	384.0	184208.0	99.68	586.0	0.32	2.1	1.12	35752.0	212.0	109181.0	99.3	759.0	0.7	1.95	1.21	25273.0	377.0	12493.0	96.66	417.0	3.34	1.23	0.65	1065.0	130.0
FND00001340.13484.WGS.report.html	97.18	31.76	667001102.0	18838304.0	8047975.0	0.99	0.98	0.96	0.86	0.99	0.98	0.95	0.84	0.05	0.02	0.01	0.0	99.86	0.75	349.0	190322.0	99.83	321.0	0.17	2.05	1.01	36548.0	41.0	116539.0	99.63	426.0	0.37	1.96	1.24	26620.0	30.0	5438.0	98.64	74.0	1.36	1.23	0.42	631.0	46.0
FND00001407.13622.WGS.report.html	90.82	25.31	549560086.0	50447556.0	4704356.0	0.96	0.94	0.9	0.68	0.97	0.94	0.88	0.63	0.09	0.05	0.03	0.01	99.68	1.64	370.0	176817.0	99.7	536.0	0.3	2.1	0.45	32395.0	44.0	106736.0	99.31	734.0	0.69	1.95	0.52	22186.0	91.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001407.13623.WGS.report.html	90.82	25.31	549560086.0	50447556.0	4704356.0	0.96	0.94	0.9	0.68	0.97	0.94	0.88	0.63	0.09	0.05	0.03	0.01	99.68	1.64	370.0	176817.0	99.7	536.0	0.3	2.1	0.45	32395.0	44.0	106714.0	99.31	734.0	0.69	1.95	0.52	22183.0	89.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001407.13624.WGS.report.html	90.82	25.31	549560086.0	50447556.0	4704356.0	0.96	0.94	0.9	0.68	0.97	0.94	0.88	0.63	0.09	0.05	0.03	0.01	99.68	1.64	370.0	176815.0	99.7	536.0	0.3	2.1	0.45	32394.0	44.0	106724.0	99.31	734.0	0.69	1.95	0.52	22185.0	91.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001407.13625.WGS.report.html	90.82	25.31	549560086.0	50447556.0	4704356.0	0.96	0.94	0.9	0.68	0.97	0.94	0.88	0.63	0.09	0.05	0.03	0.01	99.68	1.64	370.0	176815.0	99.7	536.0	0.3	2.1	0.45	32394.0	44.0	106707.0	99.31	734.0	0.69	1.95	0.52	22182.0	88.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001407.14260.WGS.report.html	92.98	35.05	732910216.0	51414162.0	6301746.0	0.97	0.96	0.94	0.85	0.97	0.96	0.94	0.82	0.09	0.06	0.04	0.02	99.72	1.36	372.0	181542.0	99.72	512.0	0.28	2.09	0.78	36449.0	202.0	110106.0	99.29	778.0	0.71	1.93	0.95	25661.0	382.0	12444.0	97.29	337.0	2.71	1.27	0.69	1091.0	143.0
FND00001419.16205.WGS.report.html	91.79	32.05	668584126.0	54892704.0	5802815.0	0.97	0.96	0.93	0.81	0.97	0.96	0.92	0.77	0.09	0.06	0.04	0.01	99.69	1.35	371.0	185340.0	99.81	348.0	0.19	2.09	0.74	35984.0	52.0	109461.0	99.58	456.0	0.42	1.93	0.8	25143.0	104.0	11971.0	99.12	105.0	0.88	1.23	0.54	1030.0	114.0
FND00001498.13629.WGS.report.html	98.7	32.64	639351594.0	8288410.0	5757538.0	0.97	0.96	0.94	0.85	0.97	0.94	0.82	0.23	0.43	0.41	0.37	0.12	99.64	1.14	376.0	180548.0	99.82	334.0	0.19	2.09	0.84	35130.0	60.0	79666.0	98.95	833.0	1.05	1.94	0.66	18885.0	114.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001498.13666.WGS.report.html	98.7	32.64	639351594.0	8288410.0	5757538.0	0.97	0.96	0.94	0.85	0.97	0.94	0.82	0.23	0.43	0.41	0.37	0.12	99.64	1.14	376.0	180548.0	99.82	334.0	0.19	2.09	0.84	35130.0	60.0	79666.0	98.95	833.0	1.05	1.94	0.66	18885.0	114.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001498.13685.WGS.report.html	98.7	32.64	639351594.0	8288410.0	5757538.0	0.97	0.96	0.94	0.85	0.97	0.94	0.82	0.23	0.43	0.41	0.37	0.12	99.64	1.14	376.0	180548.0	99.82	334.0	0.19	2.09	0.84	35130.0	60.0	79666.0	98.95	833.0	1.05	1.94	0.66	18885.0	114.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
FND00001611.14267.WGS.report.html	63.05	27.17	837504986.0	309420194.0	6926435.0	0.97	0.96	0.93	0.77	0.97	0.96	0.93	0.75	0.09	0.05	0.04	0.01	99.73	1.08	359.0	185948.0	99.64	668.0	0.36	2.09	0.98	36940.0	219.0	111259.0	99.18	907.0	0.82	1.94	1.14	25629.0	333.0	11660.0	97.3	315.0	2.7	1.25	0.58	994.0	101.0
FND00001621.14266.WGS.report.html	67.12	19.57	557546270.0	183315474.0	5225240.0	0.96	0.94	0.86	0.45	0.96	0.83	0.43	0.01	0.42	0.37	0.22	0.03	99.57	1.16	372.0	184077.0	99.39	1118.0	0.61	2.1	0.78	34043.0	213.0	74293.0	97.52	1839.0	2.48	1.92	0.69	16382.0	241.0	11924.0	95.57	528.0	4.43	1.21	0.7	1481.0	138.0
FND00001629.14294.WGS.report.html	71.99	25.86	683246806.0	191408888.0	6084793.0	0.97	0.95	0.92	0.72	0.97	0.91	0.67	0.07	0.42	0.38	0.27	0.04	99.65	0.98	365.0	181598.0	99.68	576.0	0.32	2.12	0.89	35818.0	205.0	76901.0	98.12	1444.0	1.88	1.92	0.94	18659.0	299.0	13466.0	96.29	500.0	3.71	1.15	0.77	1740.0	150.0
